epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0489,1.5584,4.45852,3.24948,1.63636,0.00591,0.85714,0.14936,0.08575,0.00492,0.75,0.20103,0.07939,1.35694,3.36097,2.93001,1.43703,0.00010002,0.00010002,0.00010002
2,24.4507,1.13599,2.37594,2.67974,1.28183,0.00667,1,0.92359,0.57749,0.00643,0.96429,0.87338,0.56071,1.19617,2.42324,2.44161,1.51389,0.000212419,0.000212419,0.000212419
3,29.3141,0.96073,1.43453,1.47967,1.14539,0.98006,0.78595,0.98015,0.68611,0.93227,0.77277,0.92006,0.58253,1.04117,2.54873,1.70049,1.38003,0.000320197,0.000320197,0.000320197
4,36.7667,0.83901,1.36833,1.13507,1.06645,0.79967,0.8237,0.86958,0.53741,0.79967,0.8237,0.86958,0.52423,1.26137,2.57464,1.80997,1.45883,0.000423355,0.000423355,0.000423355
5,41.2353,0.8165,1.31808,1.06211,1.06905,0.87375,0.67857,0.8678,0.56551,0.87375,0.67857,0.8678,0.55473,1.15326,2.35005,1.81454,1.34304,0.000521891,0.000521891,0.000521891
6,44.8564,0.83508,1.22562,1.01778,1.04963,0.93276,0.65245,0.83945,0.46872,0.93217,0.64921,0.82464,0.50625,1.49182,2.54353,1.89649,1.44912,0.000615806,0.000615806,0.000615806
7,49.293,0.91817,1.24572,1.04888,1.07166,0.74258,0.71741,0.71932,0.46301,0.72205,0.67308,0.67681,0.44867,1.45266,2.52659,1.60757,1.49704,0.000705101,0.000705101,0.000705101
8,55.4691,0.86254,1.33731,0.95598,1.04331,0.84849,0.69763,0.72361,0.50177,0.84849,0.69763,0.71443,0.44567,1.26387,3.04635,1.30446,1.45803,0.000789775,0.000789775,0.000789775
9,59.2726,0.83524,1.24384,0.94917,1.05472,0.93343,0.81386,0.88975,0.58905,0.93343,0.81386,0.89322,0.58893,1.23915,2.53126,1.40555,1.30195,0.000869827,0.000869827,0.000869827
10,62.8569,0.83093,1.14142,0.90416,1.01743,0.85983,0.88448,0.85494,0.50192,0.82062,0.84877,0.80226,0.50502,1.38194,2.75158,1.45119,1.57438,0.000945259,0.000945259,0.000945259
11,66.8938,0.84138,1.11526,0.89067,1.01892,0.96094,0.84735,0.92662,0.56505,0.9605,0.83981,0.89048,0.58129,1.23083,2.94419,1.19408,1.3694,0.00101607,0.00101607,0.00101607
12,73.3155,0.81796,1.14193,0.85941,1.02883,0.77877,0.77208,0.87022,0.57237,0.75598,0.73901,0.91328,0.59971,1.17299,3.41364,1.90473,1.43803,0.00108226,0.00108226,0.00108226
13,77.3224,0.8421,1.14169,0.88034,1.02477,0.87361,0.78571,0.88393,0.64967,0.84469,0.75,0.92227,0.57235,1.02113,3.58397,1.83488,1.35149,0.00114383,0.00114383,0.00114383
14,80.8441,0.84975,1.24839,0.8971,1.04618,0.76212,0.75,0.84987,0.50112,0.76212,0.75,0.88673,0.55268,1.45672,3.46474,1.55011,1.70347,0.00120078,0.00120078,0.00120078
15,84.9717,0.81514,1.29143,0.85413,1.05607,0.92254,0.92373,0.96945,0.67155,0.88644,0.89045,0.93322,0.60916,1.16908,3.6143,1.0628,1.51059,0.00120491,0.00120491,0.00120491
16,91.0081,0.80563,1.15214,0.82623,1.04197,0.9605,0.96429,0.99267,0.66643,0.9605,0.96429,0.99267,0.58847,1.17321,4.29916,0.93162,1.46291,0.0011719,0.0011719,0.0011719
17,95.4768,0.80166,1.11384,0.8297,1.00534,0.96062,0.95355,0.99063,0.67022,0.96001,0.92857,0.98625,0.59454,1.09222,4.27478,0.91308,1.41746,0.00113889,0.00113889,0.00113889
18,98.9047,0.82735,1.10527,0.8148,1.03387,0.8145,0.94865,0.9452,0.5649,0.78431,0.91341,0.88224,0.52876,1.32634,3.55813,1.05503,1.57165,0.00110589,0.00110589,0.00110589
